datetime,productie_kwh,afname_kwh,injectie_kwh,totaal_verbruik_kwh,verbruik_ev_kwh,verbruik_gebouw_kwh
2025-05-06 00:00:00,0.0,355.0,0.0,355.0,0.0,355.0
2025-05-06 01:00:00,0.0,334.38,0.0,334.38,0.01,334.37
2025-05-06 02:00:00,0.0,364.38,0.0,364.38,0.01,364.37
2025-05-06 03:00:00,0.0,383.75,0.0,383.75,0.01,383.74
2025-05-06 04:00:00,0.0,356.88,0.0,356.88,0.01,356.87
2025-05-06 05:00:00,0.0,365.0,0.0,365.0,0.01,364.99
2025-05-06 06:00:00,1.46,384.51,0.0,385.97,0.01,385.97
2025-05-06 07:00:00,7.96,355.08,0.0,363.05,3.15,359.9
2025-05-06 08:00:00,22.32,431.19,0.0,453.51,55.23,398.28
2025-05-06 09:00:00,33.21,472.79,0.0,506.0,90.53,415.47
2025-05-06 10:00:00,129.82,390.35,0.0,520.17,62.87,457.3
2025-05-06 11:00:00,517.85,0.0,16.89,500.96,42.93,458.04
2025-05-06 12:00:00,340.75,56.73,0.0,397.47,27.11,370.37
2025-05-06 13:00:00,283.82,99.64,0.0,383.46,9.23,374.23
2025-05-06 14:00:00,77.5,308.39,0.0,385.89,4.16,381.73
2025-05-06 15:00:00,226.28,224.11,0.0,450.39,0.01,450.39
2025-05-06 16:00:00,37.42,412.0,0.0,449.42,3.06,446.36
2025-05-06 17:00:00,114.76,296.1,0.0,410.86,11.97,398.89
2025-05-06 18:00:00,172.59,260.82,0.0,433.41,8.85,424.56
2025-05-06 19:00:00,285.08,157.07,0.0,442.15,0.01,442.14
2025-05-06 20:00:00,62.47,323.94,0.0,386.41,0.01,386.41
2025-05-06 21:00:00,1.46,377.39,0.0,378.86,0.01,378.85
2025-05-06 22:00:00,0.0,381.88,0.0,381.88,0.01,381.87
2025-05-06 23:00:00,0.0,387.5,0.0,387.5,0.01,387.49
2025-05-07 00:00:00,0.0,386.88,0.0,386.88,0.01,386.87
2025-05-07 01:00:00,0.0,319.38,0.0,319.38,0.01,319.37
2025-05-07 02:00:00,0.0,355.0,0.0,355.0,0.01,354.99
2025-05-07 03:00:00,0.0,393.75,0.0,393.75,0.0,393.74
2025-05-07 04:00:00,0.0,383.12,0.0,383.12,0.01,383.12
2025-05-07 05:00:00,0.0,410.0,0.0,410.0,0.01,409.99
2025-05-07 06:00:00,4.78,437.23,0.0,442.0,0.01,442.0
2025-05-07 07:00:00,60.45,372.37,0.0,432.82,13.86,418.97
2025-05-07 08:00:00,125.26,404.2,0.0,529.46,69.41,460.05
2025-05-07 09:00:00,161.79,364.52,0.0,526.31,94.59,431.71
2025-05-07 10:00:00,538.54,41.97,0.0,580.51,94.06,486.46
2025-05-07 11:00:00,524.12,37.45,0.0,561.57,81.67,479.89
2025-05-07 12:00:00,752.96,0.0,254.36,498.6,53.48,445.12
2025-05-07 13:00:00,889.88,0.0,391.81,498.08,40.27,457.81
2025-05-07 14:00:00,890.52,0.0,420.25,470.27,22.97,447.3
2025-05-07 15:00:00,886.02,0.0,421.37,464.65,18.84,445.81
2025-05-07 16:00:00,858.39,0.0,414.59,443.79,12.44,431.36
2025-05-07 17:00:00,699.21,0.0,271.0,428.21,0.03,428.18
2025-05-07 18:00:00,494.22,0.0,62.6,431.62,0.01,431.62
2025-05-07 19:00:00,272.33,149.8,0.0,422.13,0.01,422.12
2025-05-07 20:00:00,67.06,342.51,0.0,409.56,0.01,409.56
2025-05-07 21:00:00,2.39,409.96,0.0,412.35,0.01,412.34
2025-05-07 22:00:00,0.0,385.0,0.0,385.0,0.0,385.0
2025-05-07 23:00:00,0.0,343.12,0.0,343.12,0.01,343.12
2025-05-08 00:00:00,0.0,350.0,0.0,350.0,0.01,349.99
2025-05-08 01:00:00,0.0,307.5,0.0,307.5,0.01,307.49
2025-05-08 02:00:00,0.0,321.88,0.0,321.88,0.01,321.87
2025-05-08 03:00:00,0.0,384.38,0.0,384.38,0.01,384.37
2025-05-08 04:00:00,0.0,413.75,0.0,413.75,0.01,413.74
2025-05-08 05:00:00,0.0,463.14,0.0,463.14,0.01,463.13
2025-05-08 06:00:00,2.09,445.36,0.0,447.44,0.0,447.44
2025-05-08 07:00:00,15.04,433.14,0.0,448.18,8.14,440.04
2025-05-08 08:00:00,51.14,482.02,0.0,533.16,72.44,460.72
2025-05-08 09:00:00,182.1,336.7,0.0,518.8,94.51,424.29
2025-05-08 10:00:00,315.88,256.37,0.0,572.26,85.96,486.29
2025-05-08 11:00:00,341.34,192.54,0.0,533.89,60.26,473.63
2025-05-08 12:00:00,506.77,0.0,13.35,493.43,36.76,456.67
2025-05-08 13:00:00,519.13,0.0,48.81,470.32,23.67,446.65
2025-05-08 14:00:00,470.62,0.0,14.38,456.23,11.97,444.26
2025-05-08 15:00:00,528.42,0.0,21.12,507.3,23.58,483.71
2025-05-08 16:00:00,403.18,60.35,0.0,463.53,22.62,440.9
2025-05-08 17:00:00,324.14,56.82,0.0,380.96,2.26,378.7
2025-05-08 18:00:00,209.92,164.67,0.0,374.59,0.0,374.59
2025-05-08 19:00:00,271.43,108.44,0.0,379.87,0.01,379.86
2025-05-08 20:00:00,48.38,320.56,0.0,368.95,0.01,368.94
2025-05-08 21:00:00,2.24,386.38,0.0,388.62,0.01,388.62
2025-05-08 22:00:00,0.0,365.62,0.0,365.62,0.01,365.62
2025-05-08 23:00:00,0.0,360.62,0.0,360.62,0.01,360.62
2025-05-09 00:00:00,0.0,355.0,0.0,355.0,0.01,354.99
2025-05-09 01:00:00,0.0,344.38,0.0,344.38,0.01,344.37
2025-05-09 02:00:00,0.0,358.75,0.0,358.75,0.01,358.74
2025-05-09 03:00:00,0.0,365.0,0.0,365.0,0.01,364.99
2025-05-09 04:00:00,0.0,356.25,0.0,356.25,0.01,356.24
2025-05-09 05:00:00,0.0,380.09,0.0,380.09,0.0,380.08
2025-05-09 06:00:00,12.63,365.86,0.0,378.49,3.8,374.69
2025-05-09 07:00:00,60.93,319.56,0.0,380.49,24.28,356.21
2025-05-09 08:00:00,129.6,315.74,0.0,445.34,87.83,357.51
2025-05-09 09:00:00,198.92,267.91,0.0,466.84,96.19,370.64
2025-05-09 10:00:00,541.1,0.0,37.27,503.83,94.46,409.36
2025-05-09 11:00:00,439.31,23.45,0.0,462.76,74.71,388.04
2025-05-09 12:00:00,760.7,0.0,357.32,403.38,44.58,358.8
2025-05-09 13:00:00,888.94,0.0,510.05,378.89,10.48,368.41
2025-05-09 14:00:00,883.25,0.0,505.21,378.03,7.55,370.48
2025-05-09 15:00:00,831.44,0.0,436.18,395.26,9.23,386.03
2025-05-09 16:00:00,830.92,0.0,502.78,328.15,11.38,316.77
2025-05-09 17:00:00,662.91,0.0,356.21,306.7,5.46,301.24
2025-05-09 18:00:00,468.65,0.0,166.41,302.23,0.01,302.23
2025-05-09 19:00:00,260.65,26.83,0.0,287.48,0.01,287.48
2025-05-09 20:00:00,72.82,91.21,0.0,164.03,0.01,164.02
2025-05-09 21:00:00,2.64,84.54,0.0,87.19,0.01,87.18
2025-05-09 22:00:00,0.0,85.0,0.0,85.0,0.01,84.99
2025-05-09 23:00:00,0.0,85.62,0.0,85.62,0.01,85.62
2025-05-10 00:00:00,0.0,83.12,0.0,83.12,0.01,83.12
2025-05-10 01:00:00,0.0,75.62,0.0,75.62,0.01,75.62
2025-05-10 02:00:00,0.0,73.12,0.0,73.12,0.01,73.12
2025-05-10 03:00:00,0.0,73.12,0.0,73.12,0.01,73.12
2025-05-10 04:00:00,0.0,73.12,0.0,73.12,0.0,73.12
2025-05-10 05:00:00,0.22,72.39,0.0,72.61,0.01,72.61
2025-05-10 06:00:00,26.55,41.05,0.0,67.61,0.01,67.6
2025-05-10 07:00:00,154.5,0.0,85.69,68.81,0.01,68.8
2025-05-10 08:00:00,320.49,0.0,252.16,68.33,0.01,68.32
2025-05-10 09:00:00,533.08,0.0,464.97,68.11,0.01,68.1
2025-05-10 10:00:00,698.02,0.0,631.05,66.97,0.01,66.96
2025-05-10 11:00:00,848.57,0.0,784.58,63.99,0.01,63.99
2025-05-10 12:00:00,879.66,0.0,814.01,65.64,0.01,65.64
2025-05-10 13:00:00,879.74,0.0,811.83,67.91,0.01,67.9
2025-05-10 14:00:00,869.78,0.0,800.23,69.56,0.01,69.55
2025-05-10 15:00:00,878.68,0.0,805.78,72.89,0.01,72.89
2025-05-10 16:00:00,769.02,0.0,694.64,74.38,0.01,74.38
2025-05-10 17:00:00,612.5,0.0,536.51,76.0,0.01,75.99
2025-05-10 18:00:00,429.77,0.0,359.67,70.1,0.01,70.1
2025-05-10 19:00:00,270.23,0.0,200.74,69.49,0.01,69.49
2025-05-10 20:00:00,94.99,0.0,23.41,71.59,0.01,71.58
2025-05-10 21:00:00,5.51,63.03,0.0,68.53,0.01,68.53
2025-05-10 22:00:00,0.0,68.75,0.0,68.75,0.01,68.74
2025-05-10 23:00:00,0.0,67.5,0.0,67.5,0.01,67.49
2025-05-11 00:00:00,0.0,67.5,0.0,67.5,0.01,67.49
2025-05-11 01:00:00,0.0,67.5,0.0,67.5,0.01,67.49
2025-05-11 02:00:00,0.0,68.75,0.0,68.75,0.01,68.74
2025-05-11 03:00:00,0.0,67.5,0.0,67.5,0.01,67.49
2025-05-11 04:00:00,0.0,71.25,0.0,71.25,0.01,71.24
2025-05-11 05:00:00,0.01,74.93,0.0,74.94,0.01,74.94
2025-05-11 06:00:00,26.77,47.23,0.0,74.01,0.01,74.0
2025-05-11 07:00:00,148.37,0.0,82.98,65.39,0.01,65.38
2025-05-11 08:00:00,329.84,0.0,266.64,63.2,0.01,63.2
2025-05-11 09:00:00,548.05,0.0,484.84,63.21,0.01,63.21
2025-05-11 10:00:00,739.07,0.0,675.42,63.65,0.01,63.65
2025-05-11 11:00:00,837.9,0.0,768.22,69.68,0.01,69.68
2025-05-11 12:00:00,785.6,0.0,704.89,80.7,0.01,80.7
2025-05-11 13:00:00,861.29,0.0,776.4,84.89,0.01,84.88
2025-05-11 14:00:00,887.88,0.0,801.58,86.31,0.01,86.3
2025-05-11 15:00:00,807.2,0.0,719.04,88.16,0.01,88.15
2025-05-11 16:00:00,793.76,0.0,707.73,86.03,0.01,86.03
2025-05-11 17:00:00,653.29,0.0,568.86,84.43,0.01,84.42
2025-05-11 18:00:00,454.8,0.0,357.37,97.43,0.01,97.43
2025-05-11 19:00:00,245.97,0.0,85.3,160.67,0.01,160.66
2025-05-11 20:00:00,77.32,63.12,0.0,140.44,0.01,140.43
2025-05-11 21:00:00,3.8,231.82,0.0,235.62,0.01,235.62
2025-05-11 22:00:00,0.0,257.5,0.0,257.5,0.01,257.49
2025-05-11 23:00:00,0.0,264.38,0.0,264.38,0.01,264.37
2025-05-12 00:00:00,0.65,299.35,0.0,300.0,0.01,299.99
2025-05-12 01:00:00,0.0,282.5,0.0,282.5,0.01,282.49
2025-05-12 02:00:00,0.0,300.62,0.0,300.62,0.01,300.62
2025-05-12 03:00:00,5.9,345.97,0.0,351.88,0.01,351.87
2025-05-12 04:00:00,3.34,364.78,0.0,368.12,0.01,368.12
2025-05-12 05:00:00,3.61,361.04,0.0,364.65,0.01,364.64
2025-05-12 06:00:00,38.0,363.6,0.0,401.61,1.21,400.39
2025-05-12 07:00:00,158.13,249.8,0.0,407.93,13.64,394.28
2025-05-12 08:00:00,322.8,129.2,0.0,452.01,58.14,393.87
2025-05-12 09:00:00,420.75,60.65,0.0,481.4,94.43,386.97
2025-05-12 10:00:00,723.49,0.0,171.81,551.68,95.25,456.43
2025-05-12 11:00:00,850.61,0.0,278.45,572.16,66.33,505.83
2025-05-12 12:00:00,807.8,0.0,274.84,532.95,40.41,492.55
2025-05-12 13:00:00,743.19,0.0,240.94,502.25,11.68,490.57
2025-05-12 14:00:00,844.71,0.0,348.71,496.0,10.36,485.63
2025-05-12 15:00:00,767.61,0.0,230.07,537.54,7.75,529.79
2025-05-12 16:00:00,696.1,0.0,241.71,454.39,0.0,454.38
2025-05-12 17:00:00,542.77,0.0,106.17,436.6,0.01,436.59
2025-05-12 18:00:00,506.7,0.0,69.65,437.05,0.01,437.05
2025-05-12 19:00:00,311.3,128.34,0.0,439.64,0.01,439.63
2025-05-12 20:00:00,87.46,290.47,0.0,377.93,0.01,377.92
2025-05-12 21:00:00,5.33,385.73,0.0,391.06,0.01,391.05
2025-05-12 22:00:00,0.0,451.88,0.0,451.88,0.01,451.87
2025-05-12 23:00:00,0.0,394.38,0.0,394.38,0.01,394.37
2025-05-13 00:00:00,0.0,356.88,0.0,356.88,0.01,356.87
