Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01/01/2025;00:00:00;01/01/2025;00:15:00;541448800000018463;;AMR-meter;Afname Actief;10;kWh;Gevalideerd;
01/01/2025;00:00:00;01/01/2025;00:15:00;541448800000018463;;AMR-meter;Afname Reactief;1,41;kVArh;Gevalideerd;
01/01/2025;00:00:00;01/01/2025;00:15:00;541448800000018463;;AMR-meter;Afname Capacitief;6,25;kVArh;Gevalideerd;
01/01/2025;00:00:00;01/01/2025;00:15:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;00:15:00;01/01/2025;00:30:00;541448800000018463;;AMR-meter;Afname Actief;9,375;kWh;Gevalideerd;
01/01/2025;00:15:00;01/01/2025;00:30:00;541448800000018463;;AMR-meter;Afname Reactief;1,088;kVArh;Gevalideerd;
01/01/2025;00:15:00;01/01/2025;00:30:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;00:15:00;01/01/2025;00:30:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;00:30:00;01/01/2025;00:45:00;541448800000018463;;AMR-meter;Afname Actief;11,875;kWh;Gevalideerd;
01/01/2025;00:30:00;01/01/2025;00:45:00;541448800000018463;;AMR-meter;Afname Reactief;0,503;kVArh;Gevalideerd;
01/01/2025;00:30:00;01/01/2025;00:45:00;541448800000018463;;AMR-meter;Afname Capacitief;6,25;kVArh;Gevalideerd;
01/01/2025;00:30:00;01/01/2025;00:45:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;00:45:00;01/01/2025;01:00:00;541448800000018463;;AMR-meter;Afname Actief;11,875;kWh;Gevalideerd;
01/01/2025;00:45:00;01/01/2025;01:00:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;00:45:00;01/01/2025;01:00:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;00:45:00;01/01/2025;01:00:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;01:00:00;01/01/2025;01:15:00;541448800000018463;;AMR-meter;Afname Actief;11,25;kWh;Gevalideerd;
01/01/2025;01:00:00;01/01/2025;01:15:00;541448800000018463;;AMR-meter;Afname Reactief;0,805;kVArh;Gevalideerd;
01/01/2025;01:00:00;01/01/2025;01:15:00;541448800000018463;;AMR-meter;Afname Capacitief;6,25;kVArh;Gevalideerd;
01/01/2025;01:00:00;01/01/2025;01:15:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;01:15:00;01/01/2025;01:30:00;541448800000018463;;AMR-meter;Afname Actief;11,875;kWh;Gevalideerd;
01/01/2025;01:15:00;01/01/2025;01:30:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;01:15:00;01/01/2025;01:30:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;01:15:00;01/01/2025;01:30:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;01:30:00;01/01/2025;01:45:00;541448800000018463;;AMR-meter;Afname Actief;11,875;kWh;Gevalideerd;
01/01/2025;01:30:00;01/01/2025;01:45:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;01:30:00;01/01/2025;01:45:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;01:30:00;01/01/2025;01:45:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;01:45:00;01/01/2025;02:00:00;541448800000018463;;AMR-meter;Afname Actief;12,5;kWh;Gevalideerd;
01/01/2025;01:45:00;01/01/2025;02:00:00;541448800000018463;;AMR-meter;Afname Reactief;0,2;kVArh;Gevalideerd;
01/01/2025;01:45:00;01/01/2025;02:00:00;541448800000018463;;AMR-meter;Afname Capacitief;6,25;kVArh;Gevalideerd;
01/01/2025;01:45:00;01/01/2025;02:00:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;02:00:00;01/01/2025;02:15:00;541448800000018463;;AMR-meter;Afname Actief;13,75;kWh;Gevalideerd;
01/01/2025;02:00:00;01/01/2025;02:15:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;02:00:00;01/01/2025;02:15:00;541448800000018463;;AMR-meter;Afname Capacitief;5;kVArh;Gevalideerd;
01/01/2025;02:00:00;01/01/2025;02:15:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;02:15:00;01/01/2025;02:30:00;541448800000018463;;AMR-meter;Afname Actief;13,125;kWh;Gevalideerd;
01/01/2025;02:15:00;01/01/2025;02:30:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;02:15:00;01/01/2025;02:30:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;02:15:00;01/01/2025;02:30:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;02:30:00;01/01/2025;02:45:00;541448800000018463;;AMR-meter;Afname Actief;13,125;kWh;Gevalideerd;
01/01/2025;02:30:00;01/01/2025;02:45:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;02:30:00;01/01/2025;02:45:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;02:30:00;01/01/2025;02:45:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;02:45:00;01/01/2025;03:00:00;541448800000018463;;AMR-meter;Afname Actief;13,125;kWh;Gevalideerd;
01/01/2025;02:45:00;01/01/2025;03:00:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;02:45:00;01/01/2025;03:00:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;02:45:00;01/01/2025;03:00:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;03:00:00;01/01/2025;03:15:00;541448800000018463;;AMR-meter;Afname Actief;12,5;kWh;Gevalideerd;
01/01/2025;03:00:00;01/01/2025;03:15:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;03:00:00;01/01/2025;03:15:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;03:00:00;01/01/2025;03:15:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;03:15:00;01/01/2025;03:30:00;541448800000018463;;AMR-meter;Afname Actief;11,875;kWh;Gevalideerd;
01/01/2025;03:15:00;01/01/2025;03:30:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;03:15:00;01/01/2025;03:30:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;03:15:00;01/01/2025;03:30:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;03:30:00;01/01/2025;03:45:00;541448800000018463;;AMR-meter;Afname Actief;12,5;kWh;Gevalideerd;
01/01/2025;03:30:00;01/01/2025;03:45:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;03:30:00;01/01/2025;03:45:00;541448800000018463;;AMR-meter;Afname Capacitief;5,625;kVArh;Gevalideerd;
01/01/2025;03:30:00;01/01/2025;03:45:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;03:45:00;01/01/2025;04:00:00;541448800000018463;;AMR-meter;Afname Actief;13,125;kWh;Gevalideerd;
01/01/2025;03:45:00;01/01/2025;04:00:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
01/01/2025;03:45:00;01/01/2025;04:00:00;541448800000018463;;AMR-meter;Afname Capacitief;5;kVArh;Gevalideerd;
01/01/2025;03:45:00;01/01/2025;04:00:00;541448800000018463;;AMR-meter;Afname Inductief;0;kVArh;Gevalideerd;
01/01/2025;04:00:00;01/01/2025;04:15:00;541448800000018463;;AMR-meter;Afname Actief;16,875;kWh;Gevalideerd;
01/01/2025;04:00:00;01/01/2025;04:15:00;541448800000018463;;AMR-meter;Afname Reactief;0;kVArh;Gevalideerd;
