Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2024;00:00:00;01-01-2024;00:15:00;="541448800000018463";;AMR-meter;Afname Actief;10,625;kWh;Gevalideerd;
01-01-2024;00:00:00;01-01-2024;00:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;00:00:00;01-01-2024;00:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,750;kVArh;Gevalideerd;
01-01-2024;00:00:00;01-01-2024;00:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;00:15:00;01-01-2024;00:30:00;="541448800000018463";;AMR-meter;Afname Actief;10,625;kWh;Gevalideerd;
01-01-2024;00:15:00;01-01-2024;00:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;00:15:00;01-01-2024;00:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,750;kVArh;Gevalideerd;
01-01-2024;00:15:00;01-01-2024;00:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;00:30:00;01-01-2024;00:45:00;="541448800000018463";;AMR-meter;Afname Actief;11,875;kWh;Gevalideerd;
01-01-2024;00:30:00;01-01-2024;00:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;00:30:00;01-01-2024;00:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2024;00:30:00;01-01-2024;00:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;00:45:00;01-01-2024;01:00:00;="541448800000018463";;AMR-meter;Afname Actief;13,750;kWh;Gevalideerd;
01-01-2024;00:45:00;01-01-2024;01:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;00:45:00;01-01-2024;01:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2024;00:45:00;01-01-2024;01:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;01:00:00;01-01-2024;01:15:00;="541448800000018463";;AMR-meter;Afname Actief;14,375;kWh;Gevalideerd;
01-01-2024;01:00:00;01-01-2024;01:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;01:00:00;01-01-2024;01:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,750;kVArh;Gevalideerd;
