Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2026;00:00:00;01-01-2026;00:15:00;="541448800000018463";;AMR-meter;Afname Actief;10,000;kWh;Gevalideerd;
01-01-2026;00:00:00;01-01-2026;00:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;00:00:00;01-01-2026;00:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,750;kVArh;Gevalideerd;
01-01-2026;00:00:00;01-01-2026;00:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;00:15:00;01-01-2026;00:30:00;="541448800000018463";;AMR-meter;Afname Actief;10,000;kWh;Gevalideerd;
01-01-2026;00:15:00;01-01-2026;00:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;00:15:00;01-01-2026;00:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,750;kVArh;Gevalideerd;
01-01-2026;00:15:00;01-01-2026;00:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;00:30:00;01-01-2026;00:45:00;="541448800000018463";;AMR-meter;Afname Actief;10,000;kWh;Gevalideerd;
01-01-2026;00:30:00;01-01-2026;00:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;00:30:00;01-01-2026;00:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,750;kVArh;Gevalideerd;
01-01-2026;00:30:00;01-01-2026;00:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;00:45:00;01-01-2026;01:00:00;="541448800000018463";;AMR-meter;Afname Actief;10,000;kWh;Gevalideerd;
